indicator,area_name,area_code,area_type,year,period,numerator,measure,lower_confidence_interval,upper_confidence_interval,definition,data_source
Chronic obstructive pulmonary disease (COPD) incidence,Fife,S12000047,Council area,2010,2009/10 to 2011/12 financial years; 3-year aggregates,445,163.13,147.78,179.61,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Perth & Kinross,S12000048,Council area,2010,2009/10 to 2011/12 financial years; 3-year aggregates,161,129.63,109.74,151.99,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Glasgow City,S12000049,Council area,2010,2009/10 to 2011/12 financial years; 3-year aggregates,1068,289.54,271.65,308.26,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,North Lanarkshire,S12000050,Council area,2010,2009/10 to 2011/12 financial years; 3-year aggregates,474.67,216.41,196.1,238.15,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Scotland,S00000001,Scotland,2011,2010/11 to 2012/13 financial years; 3-year aggregates,7069,181.1,176.77,185.52,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Ayrshire & Arran,S08000015,Health board,2011,2010/11 to 2012/13 financial years; 3-year aggregates,679,222.26,205.3,240.21,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Borders,S08000016,Health board,2011,2010/11 to 2012/13 financial years; 3-year aggregates,135.67,136.37,113.65,162.19,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Dumfries & Galloway,S08000017,Health board,2011,2010/11 to 2012/13 financial years; 3-year aggregates,226,161.8,140.97,184.79,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Forth Valley,S08000019,Health board,2011,2010/11 to 2012/13 financial years; 3-year aggregates,367.67,171.73,153.96,190.93,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Grampian,S08000020,Health board,2011,2010/11 to 2012/13 financial years; 3-year aggregates,573,144.29,132.35,156.99,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Highland,S08000022,Health board,2011,2010/11 to 2012/13 financial years; 3-year aggregates,334.67,127.56,113.74,142.55,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Lothian,S08000024,Health board,2011,2010/11 to 2012/13 financial years; 3-year aggregates,873,157.39,146.78,168.55,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Orkney,S08000025,Health board,2011,2010/11 to 2012/13 financial years; 3-year aggregates,19,106.65,63.73,167.19,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Shetland,S08000026,Health board,2011,2010/11 to 2012/13 financial years; 3-year aggregates,14.33,89.78,47.34,152.89,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Western Isles,S08000028,Health board,2011,2010/11 to 2012/13 financial years; 3-year aggregates,29.33,117.25,77.13,170.14,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Fife,S08000029,Health board,2011,2010/11 to 2012/13 financial years; 3-year aggregates,458.33,163.34,148.31,179.46,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Tayside,S08000030,Health board,2011,2010/11 to 2012/13 financial years; 3-year aggregates,520.33,156.62,143.06,171.09,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Greater Glasgow & Clyde,S08000031,Health board,2011,2010/11 to 2012/13 financial years; 3-year aggregates,1876.33,236.54,225.56,247.9,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Lanarkshire,S08000032,Health board,2011,2010/11 to 2012/13 financial years; 3-year aggregates,962.33,211.01,197.2,225.5,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Clackmannanshire,S12000005,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,57,157.99,117.51,207.29,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Dumfries & Galloway,S12000006,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,226,161.8,140.97,184.79,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Ayrshire,S12000008,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,243.33,261.72,228.69,298.05,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Lothian,S12000010,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,108.33,140.05,114.12,169.97,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Renfrewshire,S12000011,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,91.33,125.9,100.51,155.58,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Na h-Eileanan Siar,S12000013,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,29.33,117.25,77.13,170.14,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Falkirk,S12000014,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,211,191.57,165.49,220.47,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Highland,S12000017,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,239.33,131.64,114.87,150.11,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Inverclyde,S12000018,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,145.33,230.99,193.16,273.8,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Midlothian,S12000019,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,119.33,194.91,159.79,235.15,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Moray,S12000020,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,95,131.75,105.58,162.23,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,North Ayrshire,S12000021,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,249,229.05,200.08,260.88,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Orkney Islands,S12000023,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,19,106.65,63.73,167.19,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Scottish Borders,S12000026,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,135.67,136.37,113.65,162.19,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Shetland Islands,S12000027,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,14.33,89.78,47.34,152.89,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,South Ayrshire,S12000028,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,186.67,180.9,155.38,209.35,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,South Lanarkshire,S12000029,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,446.33,194.25,175.75,214.1,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Stirling,S12000030,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,99.67,147.45,119.2,180.24,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Aberdeen City,S12000033,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,244.67,167.52,146.5,190.62,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Aberdeenshire,S12000034,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,233.33,131.68,114.84,150.25,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Argyll & Bute,S12000035,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,95.33,118.38,94.85,145.77,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,City of Edinburgh,S12000036,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,428.67,138.63,125.39,152.84,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Renfrewshire,S12000038,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,257,199.04,174.59,225.87,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,West Dunbartonshire,S12000039,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,160,240.22,203.15,281.91,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,West Lothian,S12000040,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,216.67,202.91,175.14,233.64,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Angus,S12000041,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,131.33,132.78,110.42,158.24,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Dundee City,S12000042,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,227,211.15,183.81,241.33,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Dunbartonshire,S12000045,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,108,122.45,99.61,148.8,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Fife,S12000047,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,458.33,163.34,148.31,179.46,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Perth & Kinross,S12000048,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,162,129.96,110.06,152.33,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Glasgow City,S12000049,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,1114.67,301.06,282.92,320.02,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,North Lanarkshire,S12000050,Council area,2011,2010/11 to 2012/13 financial years; 3-year aggregates,516,228.35,208.01,250.07,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Scotland,S00000001,Scotland,2012,2011/12 to 2013/14 financial years; 3-year aggregates,7071,178.7,174.43,183.04,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Ayrshire & Arran,S08000015,Health board,2012,2011/12 to 2013/14 financial years; 3-year aggregates,674.67,217.86,201.18,235.51,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Borders,S08000016,Health board,2012,2011/12 to 2013/14 financial years; 3-year aggregates,137,135.59,113.18,161.05,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Dumfries & Galloway,S08000017,Health board,2012,2011/12 to 2013/14 financial years; 3-year aggregates,244,171.31,150.13,194.59,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Forth Valley,S08000019,Health board,2012,2011/12 to 2013/14 financial years; 3-year aggregates,358,162.56,145.61,180.89,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Grampian,S08000020,Health board,2012,2011/12 to 2013/14 financial years; 3-year aggregates,554,137.22,125.7,149.49,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Highland,S08000022,Health board,2012,2011/12 to 2013/14 financial years; 3-year aggregates,338.67,126.76,113.16,141.5,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Lothian,S08000024,Health board,2012,2011/12 to 2013/14 financial years; 3-year aggregates,873.67,155.55,145.1,166.54,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Orkney,S08000025,Health board,2012,2011/12 to 2013/14 financial years; 3-year aggregates,20.67,115.87,70.29,179.24,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Shetland,S08000026,Health board,2012,2011/12 to 2013/14 financial years; 3-year aggregates,14.33,85.87,45.04,146.59,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Western Isles,S08000028,Health board,2012,2011/12 to 2013/14 financial years; 3-year aggregates,28.67,114.36,75.15,166.2,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Fife,S08000029,Health board,2012,2011/12 to 2013/14 financial years; 3-year aggregates,452.33,160.86,145.94,176.85,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Tayside,S08000030,Health board,2012,2011/12 to 2013/14 financial years; 3-year aggregates,521.67,155.84,142.42,170.16,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Greater Glasgow & Clyde,S08000031,Health board,2012,2011/12 to 2013/14 financial years; 3-year aggregates,1865.67,233.66,222.82,244.89,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Lanarkshire,S08000032,Health board,2012,2011/12 to 2013/14 financial years; 3-year aggregates,987.67,211.42,197.86,225.63,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Clackmannanshire,S12000005,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,56.33,149.85,111.52,196.61,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Dumfries & Galloway,S12000006,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,244,171.31,150.13,194.59,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Ayrshire,S12000008,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,242.33,254.84,222.8,290.09,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Lothian,S12000010,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,113,143.62,117.66,173.47,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Renfrewshire,S12000011,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,90,123.95,98.85,153.32,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Na h-Eileanan Siar,S12000013,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,28.67,114.36,75.15,166.2,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Falkirk,S12000014,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,208.67,184.53,159.37,212.42,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Highland,S12000017,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,243,130.55,114.11,148.64,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Inverclyde,S12000018,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,141,220.46,184.06,261.7,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Midlothian,S12000019,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,113,181.92,148.4,220.46,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Moray,S12000020,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,93,126.22,101.05,155.6,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,North Ayrshire,S12000021,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,237,214.83,187,245.47,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Orkney Islands,S12000023,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,20.67,115.87,70.29,179.24,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Scottish Borders,S12000026,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,137,135.59,113.18,161.05,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Shetland Islands,S12000027,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,14.33,85.87,45.04,146.59,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,South Ayrshire,S12000028,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,195.33,188.38,162.24,217.45,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,South Lanarkshire,S12000029,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,453.33,192.32,174.24,211.7,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Stirling,S12000030,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,93,133.83,107.51,164.54,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Aberdeen City,S12000033,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,243,165.97,145.08,188.95,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Aberdeenshire,S12000034,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,218,119.67,103.88,137.13,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Argyll & Bute,S12000035,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,95.67,118.89,95.37,146.27,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,City of Edinburgh,S12000036,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,435,140.09,126.84,154.32,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Renfrewshire,S12000038,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,255,196.95,172.73,223.53,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,West Dunbartonshire,S12000039,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,161.33,241.82,204.57,283.68,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,West Lothian,S12000040,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,212.67,193.4,167.03,222.6,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Angus,S12000041,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,150.67,150.34,126.68,177.04,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Dundee City,S12000042,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,223,209.28,182.03,239.37,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Dunbartonshire,S12000045,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,109.33,120.01,97.94,145.46,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Fife,S12000047,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,452.33,160.86,145.94,176.85,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Perth & Kinross,S12000048,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,148,116.42,97.91,137.33,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Glasgow City,S12000049,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,1109,298.68,280.67,317.51,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,North Lanarkshire,S12000050,Council area,2012,2011/12 to 2013/14 financial years; 3-year aggregates,534.33,230.93,210.91,252.27,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Scotland,S00000001,Scotland,2013,2012/13 to 2014/15 financial years; 3-year aggregates,7210.33,179,174.77,183.29,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Ayrshire & Arran,S08000015,Health board,2013,2012/13 to 2014/15 financial years; 3-year aggregates,694,219.47,203.02,236.88,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Borders,S08000016,Health board,2013,2012/13 to 2014/15 financial years; 3-year aggregates,143.33,139.24,116.66,164.8,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Dumfries & Galloway,S08000017,Health board,2013,2012/13 to 2014/15 financial years; 3-year aggregates,257,178.08,156.62,201.62,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Forth Valley,S08000019,Health board,2013,2012/13 to 2014/15 financial years; 3-year aggregates,353.67,157.67,141.16,175.53,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Grampian,S08000020,Health board,2013,2012/13 to 2014/15 financial years; 3-year aggregates,532,129.18,118.16,140.93,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Highland,S08000022,Health board,2013,2012/13 to 2014/15 financial years; 3-year aggregates,359,130.7,117.17,145.34,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Lothian,S08000024,Health board,2013,2012/13 to 2014/15 financial years; 3-year aggregates,885,155.22,144.85,166.11,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Orkney,S08000025,Health board,2013,2012/13 to 2014/15 financial years; 3-year aggregates,21.33,115.9,70.94,178.09,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Shetland,S08000026,Health board,2013,2012/13 to 2014/15 financial years; 3-year aggregates,14.67,80.14,44.05,133.56,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Western Isles,S08000028,Health board,2013,2012/13 to 2014/15 financial years; 3-year aggregates,27.67,108.16,71.25,157.22,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Fife,S08000029,Health board,2013,2012/13 to 2014/15 financial years; 3-year aggregates,470.33,163.39,148.6,179.22,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Tayside,S08000030,Health board,2013,2012/13 to 2014/15 financial years; 3-year aggregates,534,156.19,142.93,170.34,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Greater Glasgow & Clyde,S08000031,Health board,2013,2012/13 to 2014/15 financial years; 3-year aggregates,1882.33,233.46,222.68,244.62,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,NHS Lanarkshire,S08000032,Health board,2013,2012/13 to 2014/15 financial years; 3-year aggregates,1036,217.84,204.24,232.09,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Clackmannanshire,S12000005,Council area,2013,2012/13 to 2014/15 financial years; 3-year aggregates,55.67,144.56,107.34,190.01,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Dumfries & Galloway,S12000006,Council area,2013,2012/13 to 2014/15 financial years; 3-year aggregates,257,178.08,156.62,201.62,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Ayrshire,S12000008,Council area,2013,2012/13 to 2014/15 financial years; 3-year aggregates,251.33,261.16,228.9,296.57,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Lothian,S12000010,Council area,2013,2012/13 to 2014/15 financial years; 3-year aggregates,115.33,144.05,118.27,173.65,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,East Renfrewshire,S12000011,Council area,2013,2012/13 to 2014/15 financial years; 3-year aggregates,88.33,121.93,97.04,151.08,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
Chronic obstructive pulmonary disease (COPD) incidence,Na h-Eileanan Siar,S12000013,Council area,2013,2012/13 to 2014/15 financial years; 3-year aggregates,27.67,108.16,71.25,157.22,"Age-sex standardised rate per 100,000",Public Health Scotland (SMR01)
